,City,ID,Lat,Lon,Temp
465,Razgrad,727696,43.533329,26.51667,-3.07
466,Vidin,725905,43.990002,22.872499,-7.12
467,Mangalia,673921,43.799999,28.58333,-2.0
468,Turnu Magurele,664437,43.75,24.866671,-1.0
469,Calarasi,673150,44.216671,27.299999,-4.97
470,Videle,662976,44.278061,25.524441,-5.51
471,Grivita,676706,46.150002,27.65,-10.22
472,Moldova Noua,672912,44.737499,21.666941,2.0
473,Ploiesti,670474,44.950001,26.01667,-5.49
474,Curtea de Arges,679907,45.133331,24.683331,-13.97
475,Targu Jiu,665010,45.049999,23.283331,-12.47
476,Resita,668954,45.300831,21.88917,2.0
477,Ramnicu Sarat,668873,45.383331,27.049999,-8.94
478,Brasov,683844,45.648609,25.606131,-6.82
479,Sibiu,667268,45.799999,24.15,-7.0
480,Deva,679452,45.883331,22.9,-7.27
481,Arad,686254,46.183331,21.316669,-1.55
482,Targu Ocna,665002,46.283329,26.616671,-6.0
483,Odorheiu Secuiesc,671964,46.299999,25.299999,-2.82
484,Baisoara,685773,46.583328,23.466669,-6.88
485,Holod,676070,46.783329,22.133329,1.0
486,Negresti,672375,46.833328,27.433331,-6.48
487,Bistrita,684657,47.13316,24.500111,-4.19
488,Supuru de Jos,665758,47.466671,22.799999,-0.55
489,Suceava,665850,47.633331,26.25,-4.0
490,Sighetu Marmatiei,667227,47.933331,23.883329,-1.0
491,Neum,3194514,42.923328,17.615561,0.65
492,Sarajevo,3191281,43.84864,18.35644,-8.0
493,Tuzla,3188582,44.542782,18.669439,-7.0
494,Banja Luka,3204541,44.775829,17.18556,7.0
495,Split,3190261,43.508911,16.43915,7.0
496,Dubrovnik,3201047,42.648071,18.092159,3.0
497,Zadar,3186952,44.11972,15.24222,5.0
498,Karlovac,3198259,45.487221,15.54778,4.44
499,Rijeka,3191648,45.34306,14.40917,5.96
500,Pula,3192224,44.868328,13.84806,6.06
501,Varazdin,3188383,46.30444,16.33778,5.56
502,Tirana,3183875,41.327499,19.81889,2.0
503,Sarande,363243,39.875561,20.00528,5.0
504,Skopje,785842,42.0,21.433331,-6.0
505,Prilep,786735,41.34639,21.55444,-6.0
506,Vranje,784227,42.551392,21.90028,-6.0
507,Podgorica,3193044,42.441109,19.263611,1.17
508,Cuprija,791678,43.927502,21.370001,-9.0
509,Pozega,786824,43.84639,20.041389,-5.64
510,Belgrade,792680,44.804008,20.46513,-3.6
511,Zrenjanin,783814,45.38361,20.381941,-3.35
512,Sombor,3190342,45.77417,19.112221,2.0
513,Budapest,3054643,47.498009,19.039909,1.0
514,Pecs,3046526,46.083328,18.23333,1.98
515,Szeged,715429,46.252998,20.148239,1.0
516,Eger,721239,47.902649,20.373289,1.33
517,Debrecen,721472,47.533329,21.633329,0.62
518,Sopron,3045190,47.685009,16.59049,7.0
519,Szolnok,715126,47.183331,20.200001,4.1
520,Lesko,766452,49.4701,22.33042,-0.47
521,Nowy Sacz,763534,49.621769,20.69705,0.0
522,Bielsko-Biala,3103402,49.822449,19.04686,2.59
523,Sandomierz,7532761,50.679501,21.747,1.0
524,Czestochowa,3100946,50.796459,19.12409,2.0
525,Klodzko,3096053,50.434879,16.661449,2.03
526,Wlodawa,755474,51.549999,23.549999,1.0
527,Kozienice,7533191,51.585999,21.536501,1.41
528,Lodz,3093133,51.75,19.466669,3.0
529,Wroclaw,3081368,51.099998,17.033331,5.0
